"id","commodity_id","event_name","event_date","event_type","price_impact","duration","recovery"
250,250,"Crop Failure","2025-07-20","Supply Shock","35.8423313430706","3 Months","Recovered"
251,251,"Crop Failure","2024-05-25","Supply Shock","43.1736407358751","3 Months","Recovered"
252,252,"Crop Failure","2024-02-18","Supply Shock","33.6162586094692","3 Months","Recovered"
253,253,"Crop Failure","2025-08-30","Supply Shock","37.5326145394442","3 Months","Recovered"
254,254,"Crop Failure","2026-01-04","Supply Shock","28.6108133756546","3 Months","Recovered"
255,255,"Crop Failure","2023-09-12","Supply Shock","14.6663908383627","3 Months","Recovered"
256,256,"Crop Failure","2025-07-08","Supply Shock","9.15494098742899","3 Months","Recovered"
257,257,"Crop Failure","2023-08-29","Supply Shock","8.00061836865875","3 Months","Recovered"
258,258,"Crop Failure","2025-09-20","Supply Shock","7.83281872916214","3 Months","Recovered"
259,259,"Crop Failure","2025-11-07","Supply Shock","16.3035012559421","3 Months","Recovered"
260,260,"Crop Failure","2024-10-12","Supply Shock","29.2937010430946","3 Months","Recovered"
261,261,"Crop Failure","2025-05-23","Supply Shock","49.1556458158368","3 Months","Recovered"
262,262,"Crop Failure","2025-11-02","Supply Shock","19.0257997822935","3 Months","Recovered"
263,263,"Crop Failure","2026-03-04","Supply Shock","5.30011238115548","3 Months","Recovered"
264,264,"Crop Failure","2024-11-26","Supply Shock","41.9131342033472","3 Months","Recovered"
265,265,"Crop Failure","2024-03-02","Supply Shock","28.1156987476084","3 Months","Recovered"
266,266,"Crop Failure","2024-12-03","Supply Shock","48.5692486551775","3 Months","Recovered"
267,267,"Crop Failure","2025-06-10","Supply Shock","1.83409883483807","3 Months","Recovered"
268,268,"Crop Failure","2025-03-04","Supply Shock","33.2954485079559","3 Months","Recovered"
269,269,"Crop Failure","2026-01-31","Supply Shock","41.8787128557303","3 Months","Recovered"
270,270,"Crop Failure","2024-09-15","Supply Shock","49.676034598754","3 Months","Recovered"
271,271,"Crop Failure","2025-10-19","Supply Shock","45.0896618286494","3 Months","Recovered"
272,272,"Crop Failure","2025-09-13","Supply Shock","1.21769317485549","3 Months","Recovered"
273,273,"Crop Failure","2025-05-07","Supply Shock","27.55982959697","3 Months","Recovered"
274,274,"Crop Failure","2023-09-13","Supply Shock","38.7851375691635","3 Months","Recovered"
275,275,"Crop Failure","2023-08-23","Supply Shock","6.29751258177592","3 Months","Recovered"
276,276,"Crop Failure","2023-12-28","Supply Shock","6.96061509677181","3 Months","Recovered"
277,277,"Crop Failure","2023-12-01","Supply Shock","33.0868435784727","3 Months","Recovered"
278,278,"Crop Failure","2023-08-13","Supply Shock","1.65821341852534","3 Months","Recovered"
279,279,"Crop Failure","2024-05-19","Supply Shock","14.9616006518386","3 Months","Recovered"
280,280,"Crop Failure","2024-06-29","Supply Shock","8.77043033098486","3 Months","Recovered"
281,281,"Crop Failure","2026-01-07","Supply Shock","49.5926700388233","3 Months","Recovered"
282,282,"Crop Failure","2025-09-21","Supply Shock","12.1698289692446","3 Months","Recovered"
283,283,"Crop Failure","2024-12-18","Supply Shock","49.9209997093651","3 Months","Recovered"
284,284,"Crop Failure","2025-10-05","Supply Shock","12.0763655792543","3 Months","Recovered"
285,285,"Crop Failure","2025-04-14","Supply Shock","1.21532585408054","3 Months","Recovered"
286,286,"Crop Failure","2024-05-10","Supply Shock","17.010869863794","3 Months","Recovered"
287,287,"Crop Failure","2026-03-08","Supply Shock","8.59020169259396","3 Months","Recovered"
288,288,"Crop Failure","2024-07-11","Supply Shock","26.0949388386988","3 Months","Recovered"
289,289,"Crop Failure","2025-06-29","Supply Shock","11.7182825904197","3 Months","Recovered"
290,290,"Crop Failure","2025-06-26","Supply Shock","14.2061559741682","3 Months","Recovered"
291,291,"Crop Failure","2024-12-23","Supply Shock","19.4840396066674","3 Months","Recovered"
292,292,"Crop Failure","2024-07-28","Supply Shock","34.6010192182793","3 Months","Recovered"
293,293,"Crop Failure","2025-04-18","Supply Shock","14.9410272276743","3 Months","Recovered"
294,294,"Crop Failure","2025-12-10","Supply Shock","47.5467349637215","3 Months","Recovered"
295,295,"Crop Failure","2024-05-26","Supply Shock","23.7397675999877","3 Months","Recovered"
296,296,"Crop Failure","2025-11-01","Supply Shock","24.5638925461947","3 Months","Recovered"
297,297,"Crop Failure","2023-07-29","Supply Shock","29.5144570503041","3 Months","Recovered"
298,298,"Crop Failure","2026-01-28","Supply Shock","14.1371200538862","3 Months","Recovered"
299,299,"Crop Failure","2024-10-15","Supply Shock","13.6584075864891","3 Months","Recovered"
300,300,"Crop Failure","2025-12-04","Supply Shock","3.28938706888354","3 Months","Recovered"
301,301,"Crop Failure","2025-11-12","Supply Shock","8.68506972506102","3 Months","Recovered"
302,302,"Crop Failure","2024-10-09","Supply Shock","10.0809190340452","3 Months","Recovered"
303,303,"Crop Failure","2024-10-13","Supply Shock","23.9778495795243","3 Months","Recovered"
304,304,"Crop Failure","2025-09-15","Supply Shock","45.1986846226923","3 Months","Recovered"
305,305,"Crop Failure","2023-06-29","Supply Shock","14.8052252747389","3 Months","Recovered"
306,306,"Crop Failure","2025-12-14","Supply Shock","33.8085728717619","3 Months","Recovered"
307,307,"Crop Failure","2024-03-03","Supply Shock","13.9956546864163","3 Months","Recovered"
308,308,"Crop Failure","2025-03-19","Supply Shock","2.52130941984181","3 Months","Recovered"
309,309,"Crop Failure","2025-03-28","Supply Shock","41.552094519795","3 Months","Recovered"
310,310,"Crop Failure","2024-12-25","Supply Shock","17.2326913864045","3 Months","Recovered"
311,311,"Crop Failure","2025-07-25","Supply Shock","1.05788042348322","3 Months","Recovered"
312,312,"Crop Failure","2024-05-28","Supply Shock","47.7721935665346","3 Months","Recovered"
